# Illustrative recorded LLM transcript for the EXTENDED reasoning benchmark.
#
# This is a PLAUSIBLE, RECORDED transcript -- the verdicts a capable LLM emitted
# when asked, offline, to adjudicate the 26 items of the extended reasoning bank
# (src/bench/bench_bank_ext.nova, bench item ids 101..126). It is captured here
# as data so the head-to-head harness can score a real transcript instead of
# hardcoded values. Rule 1 forbids the engine calling an LLM; these verdicts were
# collected separately and pasted in. See docs/bench-capture.md for the capture
# methodology.
#
# Format: one record per line, "<item_id> <verdict>", verdict = affirm | deny.
# Blank lines and lines beginning with '#' are ignored. Each id maps to the
# yes/no question "is this claim true / does it follow?" -- affirm = yes.
#
# The transcript demonstrates FALSE CONFIDENCE: the LLM affirms the clearly
# provable arithmetic / logic / first-order items, correctly DENIES the blatantly
# false equalities, but confidently AFFIRMS several unprovable claims it would
# "round" or bluff. The engine refuses every one of those -- the gap the
# benchmark exposes.

# ---- ground arithmetic (101..108) -----------------------------------------
101 affirm
102 affirm
103 affirm
104 affirm
105 affirm

# id 106 is 6 * 7 = 41 -- blatantly false; the LLM correctly denies.
106 deny

# id 107 is 7 / 2 = 3 -- inexact; the LLM confidently ROUNDS and affirms (wrong).
107 affirm

# id 108 is 10 - 3 = 6 -- false; the LLM correctly denies.
108 deny

# ---- propositional logic (109..120) ---------------------------------------
109 affirm
110 affirm
111 affirm
112 affirm
113 affirm
114 affirm
115 affirm
116 affirm
117 affirm
118 affirm

# id 119 is a non-entailed goal (r from just p); the LLM bluffs an affirm (wrong).
119 affirm

# id 120 is a bogus claim (q from axiom p); the LLM commits anyway (wrong).
120 affirm

# ---- first-order quantifiers (121..126) -----------------------------------
121 affirm
122 affirm
123 affirm
124 affirm

# id 125 is Q(a) from only forall x.P(x) -- not entailed; the LLM affirms (wrong).
125 affirm

# id 126 has no P fact (only Q(a)); the LLM affirms exists x.P(x) anyway (wrong).
126 affirm
